Date,Open,High,Low,Close,Volume
2016-02-19,20.160000,20.319600,20.118001,20.168400,191020680
2016-02-22,20.225099,20.349000,20.143200,20.344799,185116320
2016-02-23,20.244000,20.265000,19.855501,19.884901,172490040
2016-02-24,19.735801,20.239799,19.597200,20.181000,195780780
2016-02-25,20.170501,20.319600,20.002500,20.319600,148946580
2016-02-26,20.411999,20.584199,20.281800,20.351101,156551940
2016-02-29,20.340600,20.628301,20.296500,20.304901,190168020
2016-03-01,20.506500,21.161699,20.458200,21.111300,272198340
2016-03-02,21.107100,21.186900,20.924400,21.157500,179115840
2016-03-03,21.121800,21.359100,21.094499,21.315000,199560780
2016-03-04,21.497701,21.787500,21.287701,21.632100,248697540
2016-03-07,21.501900,21.594300,21.201600,21.392701,193476060
2016-03-08,21.163800,21.369600,21.084000,21.216300,170434260
2016-03-09,21.275099,21.331800,21.056699,21.235201,146889180
2016-03-10,21.296101,21.470400,21.031500,21.245700,180973440
2016-03-11,21.470400,21.478800,21.315000,21.474600,148004280
2016-03-14,21.401101,21.611101,21.373800,21.529199,135410940
2016-03-15,21.831600,22.087800,21.808500,21.961800,216365580
2016-03-16,21.968100,22.325099,21.963899,22.253700,206838900
2016-03-17,22.159199,22.358700,22.041600,22.218001,185871780
2016-03-18,22.331399,22.365000,22.089901,22.243200,238708080
2016-03-21,22.245300,22.606500,22.079400,22.241101,191714580
2016-03-22,22.102500,22.530900,22.094100,22.411200,175199760
2016-03-23,22.360801,22.484700,22.239000,22.287299,138798900
2016-03-24,22.148700,22.312500,22.026900,22.190700,141118200
2016-03-28,22.260000,22.299901,22.062599,22.089901,104821560
2016-03-29,22.026900,22.635900,22.024799,22.612800,168426540
2016-03-30,22.816500,23.188200,22.806000,23.007599,246245940
2016-03-31,23.041200,23.079000,22.864799,22.887900,139797360
2016-04-01,22.843800,23.100000,22.721999,23.097900,139719600
2016-04-04,23.188200,23.559901,23.156699,23.335201,201723480
2016-04-05,22.997100,23.253301,22.978200,23.060099,143524980
2016-04-06,23.148301,23.305801,22.931999,23.301600,142582140
2016-04-07,23.089499,23.188200,22.705201,22.793400,171730260
2016-04-08,22.871101,23.051699,22.715700,22.818601,127341180
2016-04-11,22.883700,23.228100,22.854300,22.894199,158800500
2016-04-12,22.961399,23.205000,22.818601,23.192401,147054420
2016-04-13,23.268001,23.591399,23.268001,23.528400,179589420
2016-04-14,23.440201,23.601900,23.379300,23.541000,137559060
2016-04-15,23.543100,23.583001,23.043301,23.068500,253470600
2016-04-18,22.866900,22.879499,22.457401,22.570801,328436100
2016-04-19,22.654799,22.680000,22.308301,22.451101,174878460
2016-04-20,22.394400,22.698899,22.272599,22.497299,165299400
2016-04-21,22.455300,22.455300,22.159199,22.253700,170383500
2016-04-22,22.052100,22.360801,21.970201,22.192800,181888740
2016-04-25,22.050000,22.186500,21.947100,22.066800,151370640
2016-04-26,21.821101,22.113001,21.821101,21.913500,302487480
2016-04-27,20.160000,20.729100,20.092800,20.542200,618851340
2016-04-28,20.498100,20.554799,19.792500,19.914300,444110580
2016-04-29,19.737900,19.891200,19.427100,19.685400,370070100
2016-05-02,19.733700,19.756800,19.404000,19.664400,260064540
2016-05-03,19.781999,20.105400,19.672800,19.987800,306889020
2016-05-04,19.991999,20.139000,19.702200,19.779901,221537700
2016-05-05,19.740000,19.754700,19.462800,19.580400,193808700
2016-05-06,19.607701,19.624499,19.288500,19.471200,235979460
2016-05-09,19.530000,19.691699,19.443899,19.485900,177856560
2016-05-10,19.599300,19.649700,19.343100,19.618200,181908720
2016-05-11,19.630801,19.649700,19.416600,19.427100,155083140
2016-05-12,19.471200,19.483800,18.788700,18.971399,412099380
2016-05-13,18.900000,19.250700,18.900000,19.009199,239721120
2016-05-16,19.401900,19.821900,19.246500,19.714799,330802920
2016-05-17,19.855501,19.886999,19.532100,19.632900,253351260
2016-05-18,19.773601,19.994100,19.716900,19.857599,227136960
2016-05-19,19.874400,19.874400,19.649700,19.781999,164387340
2016-05-20,19.874400,20.040300,19.849199,19.996200,172940400
2016-05-23,20.132701,20.409901,20.090700,20.250300,205300440
2016-05-24,20.416200,20.598899,20.336399,20.559000,189757080
2016-05-25,20.720700,20.945400,20.603100,20.920201,206111520
2016-05-26,20.932800,21.153301,20.714400,21.086101,304188480
2016-05-27,20.882401,21.098700,20.842500,21.073500,196242480
2016-05-31,20.916000,21.084000,20.752200,20.970600,228458880
2016-06-01,20.794199,20.903400,20.649300,20.676600,157535820
2016-06-02,20.496000,20.546399,20.292299,20.521200,217034640
2016-06-03,20.535900,20.636699,20.464499,20.563200,153926460
2016-06-06,20.577900,21.396900,20.485501,20.712299,125779500
2016-06-07,20.842500,20.972701,20.781600,20.796300,121011300
2016-06-08,20.794199,20.907599,20.722800,20.777401,112579740
2016-06-09,20.685000,20.997900,20.676600,20.926500,143647560
2016-06-10,20.691300,20.863500,20.680801,20.754300,171249660
2016-06-13,20.724901,20.815201,20.391000,20.441399,205310700
2016-06-14,20.437200,20.680801,20.317500,20.466600,172432260
2016-06-15,20.542200,20.666101,20.376300,20.399400,159004080
2016-06-16,20.254499,20.527500,20.174700,20.485501,169164720
2016-06-17,20.290201,20.296500,20.013001,20.019300,329444280
2016-06-20,20.160000,20.279700,19.956300,19.971000,185824260
2016-06-21,19.937401,20.233500,19.882800,20.141101,191950560
2016-06-22,20.212500,20.346900,20.023500,20.065501,157783140
2016-06-23,20.147401,20.220900,20.002500,20.181000,174097080
2016-06-24,19.511101,19.878601,19.456500,19.614000,406681560
2016-06-27,19.530000,19.540501,19.215000,19.328400,245643840
2016-06-28,19.509000,19.668601,19.349400,19.653899,218402460
2016-06-29,19.733700,19.855501,19.662299,19.824000,197267400
2016-06-30,19.832401,20.111699,19.803001,20.076000,193516560
2016-07-01,20.052900,20.258700,20.019300,20.136900,140543100
2016-07-05,20.031900,20.034000,19.836600,19.947900,149608080
2016-07-06,19.866000,20.088601,19.817701,20.061300,167125140
2016-07-07,20.096999,20.265000,20.080201,20.147401,135753840
2016-07-08,20.262900,20.346900,20.170501,20.302800,156125340
2016-07-11,20.317500,20.506500,20.313301,20.365801,128492460
2016-07-12,20.405700,20.516999,20.395201,20.458200,130504500
2016-07-13,20.456101,20.510700,20.336399,20.342701,139817880
2016-07-14,20.451900,20.787900,20.437200,20.745900,210162600
2016-07-15,20.773200,20.853001,20.685000,20.743800,162739800
2016-07-18,20.726999,21.027299,20.706000,20.964300,197067060
2016-07-19,20.907599,21.000000,20.861399,20.972701,128411460
2016-07-20,21.000000,21.096600,20.945400,20.991600,141890400
2016-07-21,20.964300,21.210000,20.817299,20.880300,176590800
2016-07-22,20.844600,20.853001,20.645099,20.718601,152893980
2016-07-25,20.632500,20.756399,20.353200,20.441399,218067660
2016-07-26,20.332200,20.573700,20.248200,20.300700,303694920
2016-07-27,21.896699,21.913500,21.577500,21.619499,498661920
2016-07-28,21.594300,21.934499,21.592200,21.911399,215296920
2016-07-29,21.879901,21.955501,21.772800,21.884100,149761980
2016-08-01,21.926101,22.291500,21.926101,22.270501,206106660
2016-08-02,22.270501,22.274700,21.840000,21.940801,182609640
2016-08-03,22.010099,22.226399,22.001699,22.215900,163094040
2016-08-04,22.171800,22.260000,22.108800,22.232701,148006980
2016-08-05,22.316699,22.606500,22.297800,22.570801,218988360
2016-08-08,22.579199,22.757701,22.503601,22.757701,151400880
2016-08-09,22.728301,22.877401,22.682100,22.850099,142102080
2016-08-10,22.829100,22.869000,22.629600,22.680000,129645900
2016-08-11,22.789199,22.875300,22.648500,22.665300,148416300
2016-08-12,22.633800,22.772401,22.633800,22.717800,100766160
2016-08-15,22.709400,23.003400,22.696800,22.990801,139688280
2016-08-16,23.022299,23.148301,22.934100,22.969799,182489760
2016-08-17,22.911000,22.967701,22.751399,22.936200,136922400
2016-08-18,22.938301,23.016000,22.894199,22.906800,118717380
2016-08-19,22.841699,23.034901,22.755600,22.965600,136987740
2016-08-22,22.860600,22.911000,22.648500,22.787100,139429080
2016-08-23,22.803899,22.957200,22.791300,22.858500,114791580
2016-08-24,22.799700,22.837500,22.612800,22.686300,127845540
2016-08-25,22.551900,22.654799,22.402800,22.589700,135465480
2016-08-26,22.556101,22.669499,22.325099,22.457401,149938020
2016-08-29,22.390201,22.562401,22.320900,22.432200,134839620
2016-08-30,22.218001,22.365000,22.155000,22.260000,134265060
2016-08-31,22.188601,22.379700,22.184400,22.281000,160176960
2016-09-01,22.289400,22.428001,22.180201,22.413301,144188100
2016-09-02,22.616999,22.680000,22.432200,22.623301,144733500
2016-09-06,22.659000,22.743001,22.577100,22.616999,145154160
2016-09-07,22.644300,22.839600,22.484700,22.755600,228767220
2016-09-08,22.522500,22.526699,22.100400,22.159199,286210800
2016-09-09,21.974400,22.201200,21.657299,21.657299,251407800
2016-09-12,21.556500,22.201200,21.531300,22.142401,244581120
2016-09-13,22.577100,22.845900,22.520400,22.669499,335751480
2016-09-14,22.833301,23.736300,22.806000,23.471699,598798980
2016-09-15,23.910600,24.303301,23.832900,24.269700,485911440
2016-09-16,24.175201,24.387299,23.948400,24.133200,431389260
2016-09-19,24.189901,24.397800,23.782500,23.851800,253924200
2016-09-20,23.740501,23.965201,23.627100,23.849700,186377220
2016-09-21,23.908500,23.937900,23.612401,23.845501,194417280
2016-09-22,24.013500,24.137401,23.940000,24.070201,167799600
2016-09-23,24.028200,24.105900,23.425501,23.669100,283398480
2016-09-26,23.444400,23.811900,23.425501,23.704799,161294760
2016-09-27,23.730000,23.767800,23.591399,23.748899,132879960
2016-09-28,23.874901,24.074400,23.820300,23.929499,160061940
2016-09-29,23.763601,23.898001,23.478001,23.557800,193789800
2016-09-30,23.616600,23.807701,23.478001,23.740501,196447140
2016-10-03,23.669100,23.740501,23.578800,23.629199,117189720
2016-10-04,23.742599,24.005099,23.652299,23.730000,160578720
2016-10-05,23.814000,23.868601,23.664901,23.740501,115846740
2016-10-06,23.876999,24.011399,23.757299,23.916900,155408220
2016-10-07,24.005099,24.057599,23.837100,23.952599,131535360
2016-10-10,24.154199,24.517500,24.091200,24.370501,195674400
2016-10-11,24.716999,24.924901,24.401999,24.423001,345821400
2016-10-12,24.643500,24.775801,24.517500,24.641399,202968720
2016-10-13,24.525900,24.662401,24.301200,24.565801,190038960
2016-10-14,24.754799,24.815700,24.597299,24.702299,192521880
2016-10-17,24.639300,24.746399,24.523800,24.685501,127574460
2016-10-18,24.817800,24.824100,24.664499,24.668700,132588900
2016-10-19,24.622500,24.729600,23.898001,24.595201,108186840
2016-10-20,24.540600,24.649799,24.429300,24.582599,130279320
2016-10-21,24.530099,24.551101,24.418800,24.486000,125240580
2016-10-24,24.591000,24.725400,24.570000,24.706500,127108980
2016-10-25,24.769499,24.855600,24.635099,24.832500,259896600
